sample_wgts	HHID_79	nonmissing	LogWage	yearborn	black	AFQTStd	EarlyIQStd
572317	3096	0	7.35845	62	0	-.4733218	
169823	3103	0	7.019721	63	0	-2.215966	
179726	3103	0	6.365433	64	0	-1.123885	
690434	3126	0	6.720448	64	0	.9347479	
462725	3139	0	7.575225	64	0	1.090753	
383564	3141	0	7.522298	62	0	1.277607	
462725	3142	0	7.425522	64	0	2.678254	
414217	3149	0	6.766551	63	0	-.3573175	
438371	3159	0	7.085661	64	0	-.0334141	
363376	3171	0	8.899924	62	0	2.377427	
485448	3202	0	6.946284	62	0	-.5317628	
467197	3210	0	7.103275	62	0	.0761476	
532564	3213	0	6.72394	63	0	.3379263	
532564	3213	0	6.861217	63	0	.6347818	
445961	3218	0	6.810293	62	0	.9664438	
445961	3228	1	7.107004	62	0	.4635419	-.1614235
538001	3228	1	7.190061	64	0	.7372268	1.185412
465994	3230	0	7.240596	63	0	-1.29469	
464543	3246	0	7.103538	62	0	-.3342417	
529538	3250	0	6.785795	63	0	.9882776	
534758	3256	0	6.734849	62	0	1.801765	
127982	3271	0	6.962539	63	0	-1.116147	
489529	3284	0	6.923678	63	0	-.0915122	
140318	3310	0	6.53531	62	1	-.8642864	
165773	3325	0	6.787427	63	1	-1.770412	
460133	3329	0	6.340754	62	0	.5469291	
555097	3329	0	7.096557	64	0	-.6425515	
161450	3334	1	6.5145	63	1	-.5959213	.923627
414217	3345	0	6.64798	63	0	-1.01601	
363376	3353	0	6.319731	62	0	-.3073801	
438371	3357	0	6.924278	64	0	.1500129	
414217	3361	0	7.636217	63	0	.4688401	
431509	3372	1	7.140718	62	0	-.0998905	-.2016004
491882	3378	0	7.522148	63	0	.9520025	
431509	3382	0	7.761418	62	0	.5754793	
491882	3384	0	7.153429	63	0	.7231943	
164374	3387	1	7.300404	63	1	1.861067	2.109461
166252	3395	0	7.027792	62	0	.3829321	
476931	3398	0	7.452829	62	0	-.1508147	
476931	3404	0	7.521529	62	0	1.17747	
