sample_wgts	HHID_79	AvgHourlyWages_90to93	LogWage	yearborn	black	AFQT_Adj1
519711	3518	1282.968	7.156931	63	0	37
144403	3539	770.7645	6.647383	63	1	11
143483	3541	749.3091	6.619152	62	1	6
433593	3553	1230.865	7.115472	62	0	73
523080	3561	1098.958	7.002118	64	0	4
487695	3567	1104.709	7.007337	63	0	16
127503	3570	961.3521	6.868341	63	0	13
543701	3582	1809.308	7.5007	63	0	99
428062	3591	1482.881	7.301742	62	0	56
487953	3591	813.9089	6.701849	63	0	56
516407	3594	1154.885	7.051756	64	0	36
428062	3602	982.5212	6.890122	62	0	26
438157	3610	748.9127	6.618622	62	0	37
410773	3615	864.3853	6.762019	62	0	76
468245	3616	974.889	6.882324	63	0	88
410773	3623	1424.134	7.261319	62	0	95
417209	3632	627.8953	6.442373	62	0	6
503315	3632	876.2208	6.775618	64	0	10
503315	3639	615.0747	6.421744	64	0	4
417209	3656	808.5858	6.695287	62	0	40
131587	3657	590.5189	6.381001	64	0	3
417209	3670	3087.479	8.03511	62	0	99
503315	3673	1126.981	7.027298	64	0	51
475582	3680	1251.426	7.132039	63	0	84
657835	3693	1670.623	7.420952	62	0	28
140318	3695	716.1343	6.573868	62	1	40
514168	3723	666.9228	6.502674	63	0	55
544150	3731	912.4009	6.81608	64	0	43
514168	3732	779.4456	6.658583	63	0	97
529068	3733	390.9558	5.968595	64	0	5
529068	3742	1681.813	7.427628	64	0	25
438557	3748	854.1593	6.750118	62	0	68
499916	3748	970.9802	6.878306	63	0	43
461638	3757	1820.65	7.506949	62	0	96
526227	3758	1102.171	7.005037	63	0	42
526227	3764	1617.232	7.388471	63	0	76
520566	3774	793.8032	6.676836	64	0	85
438371	3780	1704.977	7.441307	64	0	50
467596	3795	1395.51	7.241015	64	0	72
462267	3804	1122.535	7.023345	63	0	75
462267	3810	1312.467	7.179664	63	0	26
489224	3815	1841.37	7.518265	64	0	84
489224	3816	1113.31	7.015092	64	0	81
136757	3827	1228.901	7.113876	62	1	8
456264	3830	697.2427	6.547133	64	0	34
456264	3833	1203.892	7.093315	64	0	42
456264	3835	758.2698	6.631039	64	0	37
456264	3850	1479.79	7.299655	64	0	35
431124	3856	1800.825	7.496	63	0	93
449032	3860	1412.318	7.252987	63	0	89
449032	3863	2233.029	7.711114	63	0	90
507888	3865	739.8566	6.606456	63	0	91
389331	3867	903.9052	6.806725	62	0	84
389331	3871	779.7753	6.659006	62	0	92
443803	3874	1391.419	7.23808	63	0	81
389331	3879	456.2616	6.123066	62	0	39
443803	3884	1036.383	6.943492	63	0	63
389331	3885	2971.641	7.99687	62	0	99
469683	3885	1239.687	7.122614	64	0	96
389331	3887	751.4508	6.622006	62	0	99
443803	3888	1038.121	6.945168	63	0	67
431124	3890	1989.187	7.595481	63	0	84
378208	3892	1360.367	7.215509	62	0	91
431124	3895	1835.781	7.515225	63	0	68
431124	3901	1479.685	7.299584	63	0	99
378208	3903	1044.609	6.951398	62	0	64
569783	3910	779.1776	6.658239	63	0	57
431509	3920	904.6681	6.807568	62	0	50
431509	3925	1232.44	7.116751	62	0	91
520566	3925	1440.568	7.272793	64	0	81
161450	3932	1402.787	7.246216	63	1	4
201086	3942	710.6474	6.566176	64	1	4
151300	3952	406.3614	6.007243	62	1	4
159300	3956	1213.527	7.101286	62	1	61
536909	3961	1141.752	7.040319	62	0	35
536909	3963	734.7537	6.599535	62	0	23
536909	3964	1956.634	7.578981	62	0	63
536988	3968	1270.521	7.147182	62	0	87
536988	3971	2302.702	7.741838	62	0	99
184136	3975	1005.639	6.913379	62	1	7
607517	3989	1909.582	7.55464	63	0	25
642944	3994	463.9264	6.139726	64	0	39
