SMSA81,SCSA81,PlaceName81,MSAPMA99,MSACMA99,PMSA99,NECMA99,PlaceName99,MSAPMA99m,MSACMA99m,PMSA99m,NECMA99m,PlaceName_MSA
2750,,"Fort Walton Beach, FL SMSA",2750,2750,,,"Fort Walton Beach, FL MSA",2750,2750,,,"Fort Walton Beach, FL MSA"
2760,,"Fort Wayne, IN SMSA",2760,2760,,,"Fort Wayne, IN MSA",2760,2760,,,"Fort Wayne, IN MSA"
2840,,"Fresno, CA SMSA",2840,2840,,,"Fresno, CA MSA",2840,2840,,,"Fresno, CA MSA"
2880,,"Gadsden, AL SMSA",2880,2880,,,"Gadsden, AL MSA",2880,2880,,,"Gadsden, AL MSA"
2900,,"Gainesville, FL SMSA",2900,2900,,,"Gainesville, FL MSA",2900,2900,,,"Gainesville, FL MSA"
2920,42,"Galveston-Texas City, TX SMSA",2920,3362,2920,,"Galveston-Texas City, TX PMSA",2920,3362,2920,,"Galveston-Texas City, TX PMSA"
2960,14,"Gary-Hammond-East Chicago, IN SMSA",2960,1602,2960,,"Gary, IN PMSA",2960,1602,2960,,"Gary, IN PMSA"
2975,,"Glens Falls, NY SMSA",2975,2975,,,"Glens Falls, NY MSA",2975,2975,,,"Glens Falls, NY MSA"
,,,2980,2980,,,"Goldsboro, NC MSA",2980,2980,,,"Goldsboro, NC MSA"
2985,,"Grand Forks, ND-MN SMSA",2985,2985,,,"Grand Forks, ND-MN MSA",2985,2985,,,"Grand Forks, ND-MN MSA"
,,,2995,2995,,,"Grand Junction, CO MSA",2995,2995,,,"Grand Junction, CO MSA"
3000,,"Grand Rapids, MI SMSA",3000,3000,,,"Grand Rapids-Muskegon-Holland, MI MSA",3000,3000,,,"Grand Rapids-Muskegon-Holland, MI MSA"
5320,,"Muskegon-Norton Shores-Muskegon Heights, MI SMSA",,,,,,3000,3000,,,"Grand Rapids-Muskegon-Holland, MI MSA"
3040,,"Great Falls, MT SMSA",3040,3040,,,"Great Falls, MT MSA",3040,3040,,,"Great Falls, MT MSA"
3060,,"Greeley, CO SMSA",3060,2082,3060,,"Greeley, CO PMSA",3060,2082,3060,,"Greeley, CO PMSA"
3080,,"Green Bay, WI SMSA",3080,3080,,,"Green Bay, WI MSA",3080,3080,,,"Green Bay, WI MSA"
1300,,"Burlington, NC SMSA",3120,3120,,,"Greensboro--Winston-Salem--High Point, NC MSA",3120,3120,,,"Greensboro--Winston-Salem--High Point, NC MSA"
3120,,"Greensboro--Winston-Salem--High Point, NC SMSA",,,,,,3120,3120,,,"Greensboro--Winston-Salem--High Point, NC MSA"
,,,3150,3150,,,"Greenville, NC MSA",3150,3150,,,"Greenville, NC MSA"
405,,"Anderson, SC SMSA",3160,3160,,,"Greenville-Spartanburg-Anderson, SC MSA",3160,3160,,,"Greenville-Spartanburg-Anderson, SC MSA"
3160,,"Greenville-Spartanburg, SC SMSA",,,,,,3160,3160,,,"Greenville-Spartanburg-Anderson, SC MSA"
3180,,"Hagerstown, MD SMSA",3180,8872,3180,,"Hagerstown, MD PMSA",3180,8872,3180,,"Hagerstown, MD PMSA"
3200,21,"Hamilton-Middletown, OH SMSA",3200,1642,3200,,"Hamilton-Middletown, OH PMSA",3200,1642,3200,,"Hamilton-Middletown, OH PMSA"
3240,,"Harrisburg, PA SMSA",3240,3240,,,"Harrisburg-Lebanon-Carlisle, PA MSA",3240,3240,,,"Harrisburg-Lebanon-Carlisle, PA MSA"
1170,,"Bristol, CT SMSA",3280,3280,,,"Hartford, CT MSA",3280,3280,,3283,"Hartford, CT NECMA"
3280,,"Hartford, CT SMSA",,,,,,3280,3280,,3283,"Hartford, CT NECMA"
5440,,"New Britain, CT SMSA",,,,,,3280,3280,,3283,"Hartford, CT NECMA"
,,,3285,3285,,,"Hattiesburg, MS MSA",3285,3285,,,"Hattiesburg, MS MSA"
3290,,"Hickory, NC SMSA",3290,3290,,,"Hickory-Morganton-Lenoir, NC MSA",3290,3290,,,"Hickory-Morganton-Lenoir, NC MSA"
3320,,"Honolulu, HI SMSA",3320,3320,,,"Honolulu, HI MSA",3320,3320,,,"Honolulu, HI MSA"
,,,3350,3350,,,"Houma, LA MSA",3350,3350,,,"Houma, LA MSA"
3360,42,"Houston, TX SMSA",3360,3362,3360,,"Houston, TX PMSA",3360,3362,3360,,"Houston, TX PMSA"
3400,,"Huntington-Ashland, WV-KY-OH SMSA",3400,3400,,,"Huntington-Ashland, WV-KY-OH MSA",3400,3400,,,"Huntington-Ashland, WV-KY-OH MSA"
3440,,"Huntsville, AL SMSA",3440,3440,,,"Huntsville, AL MSA",3440,3440,,,"Huntsville, AL MSA"
400,44,"Anderson, IN SMSA",3480,3480,,,"Indianapolis, IN MSA",3480,3480,,,"Indianapolis, IN MSA"
3480,44,"Indianapolis, IN SMSA",,,,,,3480,3480,,,"Indianapolis, IN MSA"
3500,,"Iowa City, IA SMSA",3500,3500,,,"Iowa City, IA MSA",3500,3500,,,"Iowa City, IA MSA"
3520,,"Jackson, MI SMSA",3520,3520,,,"Jackson, MI MSA",3520,3520,,,"Jackson, MI MSA"
3560,,"Jackson, MS SMSA",3560,3560,,,"Jackson, MS MSA",3560,3560,,,"Jackson, MS MSA"
,,,3580,3580,,,"Jackson, TN MSA",3580,3580,,,"Jackson, TN MSA"
3600,,"Jacksonville, FL SMSA",3600,3600,,,"Jacksonville, FL MSA",3600,3600,,,"Jacksonville, FL MSA"
3605,,"Jacksonville, NC SMSA",3605,3605,,,"Jacksonville, NC MSA",3605,3605,,,"Jacksonville, NC MSA"
,,,3610,3610,,,"Jamestown, NY MSA",3610,3610,,,"Jamestown, NY MSA"
3620,,"Janesville-Beloit, WI SMSA",3620,3620,,,"Janesville-Beloit, WI MSA",3620,3620,,,"Janesville-Beloit, WI MSA"
3640,70,"Jersey City, NJ SMSA",3640,5602,3640,,"Jersey City, NJ PMSA",3640,5602,3640,,"Jersey City, NJ PMSA"
3660,,"Johnson City-Kingsport-Bristol, TN-VA SMSA",3660,3660,,,"Johnson City-Kingsport-Bristol, TN-VA MSA",3660,3660,,,"Johnson City-Kingsport-Bristol, TN-VA MSA"
3680,,"Johnstown, PA SMSA",3680,3680,,,"Johnstown, PA MSA",3680,3680,,,"Johnstown, PA MSA"
,,,3700,3700,,,"Jonesboro, AR MSA",3700,3700,,,"Jonesboro, AR MSA"
3710,,"Joplin, MO SMSA",3710,3710,,,"Joplin, MO MSA",3710,3710,,,"Joplin, MO MSA"
780,,"Battle Creek, MI SMSA",3720,3720,,,"Kalamazoo-Battle Creek, MI MSA",3720,3720,,,"Kalamazoo-Battle Creek, MI MSA"
3720,,"Kalamazoo-Portage, MI SMSA",,,,,,3720,3720,,,"Kalamazoo-Battle Creek, MI MSA"
,,,3740,1602,3740,,"Kankakee, IL PMSA",3740,1602,3740,,"Kankakee, IL PMSA"
3760,,"Kansas City, MO-KS SMSA",3760,3760,,,"Kansas City, MO-KS MSA",3760,3760,,,"Kansas City, MO-KS MSA"
3800,14,"Kenosha, WI SMSA",3800,1602,3800,,"Kenosha, WI PMSA",3800,1602,3800,,"Kenosha, WI PMSA"
3810,,"Killeen-Temple, TX SMSA",3810,3810,,,"Killeen-Temple, TX MSA",3810,3810,,,"Killeen-Temple, TX MSA"
3840,,"Knoxville, TN SMSA",3840,3840,,,"Knoxville, TN MSA",3840,3840,,,"Knoxville, TN MSA"
3850,,"Kokomo, IN SMSA",3850,3850,,,"Kokomo, IN MSA",3850,3850,,,"Kokomo, IN MSA"
3870,,"La Crosse, WI SMSA",3870,3870,,,"La Crosse, WI-MN MSA",3870,3870,,,"La Crosse, WI-MN MSA"
3880,,"Lafayette, LA SMSA",3880,3880,,,"Lafayette, LA MSA",3880,3880,,,"Lafayette, LA MSA"
3920,,"Lafayette-West Lafayette, IN SMSA",3920,3920,,,"Lafayette, IN MSA",3920,3920,,,"Lafayette, IN MSA"
3960,,"Lake Charles, LA SMSA",3960,3960,,,"Lake Charles, LA MSA",3960,3960,,,"Lake Charles, LA MSA"
3980,,"Lakeland-Winter Haven, FL SMSA",3980,3980,,,"Lakeland-Winter Haven, FL MSA",3980,3980,,,"Lakeland-Winter Haven, FL MSA"
4000,,"Lancaster, PA SMSA",4000,4000,,,"Lancaster, PA MSA",4000,4000,,,"Lancaster, PA MSA"
4040,,"Lansing-East Lansing, MI SMSA",4040,4040,,,"Lansing-East Lansing, MI MSA",4040,4040,,,"Lansing-East Lansing, MI MSA"
4080,,"Laredo, TX SMSA",4080,4080,,,"Laredo, TX MSA",4080,4080,,,"Laredo, TX MSA"
4100,,"Las Cruces, NM SMSA",4100,4100,,,"Las Cruces, NM MSA",4100,4100,,,"Las Cruces, NM MSA"
4120,,"Las Vegas, NV SMSA",4120,4120,,,"Las Vegas, NV-AZ MSA",4120,4120,,,"Las Vegas, NV-AZ MSA"
4150,,"Lawrence, KS SMSA",4150,4150,,,"Lawrence, KS MSA",4150,4150,,,"Lawrence, KS MSA"
4160,7,"Lawrence-Haverhill, MA-NH SMSA",4160,1122,4160,,"Lawrence, MA-NH PMSA",4160,1122,4160,1123,"Boston-Worcester-Lawrence-Lowell-Brockton, MA-NH NECMA"
4200,,"Lawton, OK SMSA",4200,4200,,,"Lawton, OK MSA",4200,4200,,,"Lawton, OK MSA"
4240,,"Lewiston-Auburn, ME SMSA",4240,4240,,,"Lewiston-Auburn, ME MSA",4240,4240,,4243,"Lewiston-Auburn, ME NECMA"
4280,,"Lexington-Fayette, KY SMSA",4280,4280,,,"Lexington, KY MSA",4280,4280,,,"Lexington, KY MSA"
4320,,"Lima, OH SMSA",4320,4320,,,"Lima, OH MSA",4320,4320,,,"Lima, OH MSA"
4360,,"Lincoln, NE SMSA",4360,4360,,,"Lincoln, NE MSA",4360,4360,,,"Lincoln, NE MSA"
4400,,"Little Rock-North Little Rock, AR SMSA",4400,4400,,,"Little Rock-North Little Rock, AR MSA",4400,4400,,,"Little Rock-North Little Rock, AR MSA"
4420,,"Longview-Marshall, TX SMSA",4420,4420,,,"Longview-Marshall, TX MSA",4420,4420,,,"Longview-Marshall, TX MSA"
4480,49,"Los Angeles-Long Beach, CA SMSA",4480,4472,4480,,"Los Angeles-Long Beach, CA PMSA",4480,4472,4480,,"Los Angeles-Long Beach, CA PMSA"
4520,,"Louisville, KY-IN SMSA",4520,4520,,,"Louisville, KY-IN MSA",4520,4520,,,"Louisville, KY-IN MSA"
4560,7,"Lowell, MA-NH SMSA",4560,1122,4560,,"Lowell, MA-NH PMSA",4560,1122,4560,1123,"Boston-Worcester-Lawrence-Lowell-Brockton, MA-NH NECMA"
4600,,"Lubbock, TX SMSA",4600,4600,,,"Lubbock, TX MSA",4600,4600,,,"Lubbock, TX MSA"
4640,,"Lynchburg, VA SMSA",4640,4640,,,"Lynchburg, VA MSA",4640,4640,,,"Lynchburg, VA MSA"
4680,,"Macon, GA SMSA",4680,4680,,,"Macon, GA MSA",4680,4680,,,"Macon, GA MSA"
4720,,"Madison, WI SMSA",4720,4720,,,"Madison, WI MSA",4720,4720,,,"Madison, WI MSA"
4760,,"Manchester, NH SMSA",4760,1122,4760,,"Manchester, NH PMSA",4760,1122,4760,,"Manchester, NH PMSA"
4800,,"Mansfield, OH SMSA",4800,4800,,,"Mansfield, OH MSA",4800,4800,,,"Mansfield, OH MSA"
4840,,"Mayaguez, PR SMSA",4840,4840,,,"Mayaguez, PR MSA",4840,4840,,,"Mayaguez, PR MSA"
4880,,"McAllen-Pharr-Edinburg, TX SMSA",4880,4880,,,"McAllen-Edinburg-Mission, TX MSA",4880,4880,,,"McAllen-Edinburg-Mission, TX MSA"
4890,,"Medford, OR SMSA",4890,4890,,,"Medford-Ashland, OR MSA",4890,4890,,,"Medford-Ashland, OR MSA"
